self.updates = 40000
buffer_size = 2000
self.replay_start = 100   # train을 위한, experience_replay의 최소 크기.
self.replay_ratio= 4 # on-policy로 data생성 --> train 후, replay-buffer에 있는 data로 몇번 train할 것인가.


self.n_workers = 8
self.worker_steps = 128  # 각 episode를 worker_steps만큼씩 만들어 data를 생성할 것인지 결정.



820 100 mean reard / episode-length: / 12.810 / 661.950 elapsed: 1408 sec
830 100 mean reard / episode-length: / 12.960 / 669.180 elapsed: 1424 sec
840 100 mean reard / episode-length: / 13.160 / 674.840 elapsed: 1440 sec
850 100 mean reard / episode-length: / 13.230 / 674.130 elapsed: 1456 sec
860 100 mean reard / episode-length: / 13.210 / 675.040 elapsed: 1473 sec
870 100 mean reard / episode-length: / 13.370 / 677.170 elapsed: 1488 sec
880 100 mean reard / episode-length: / 13.230 / 672.780 elapsed: 1504 sec
890 100 mean reard / episode-length: / 13.190 / 672.190 elapsed: 1520 sec
900 100 mean reard / episode-length: / 13.400 / 678.710 elapsed: 1536 sec
910 100 mean reard / episode-length: / 13.590 / 685.400 elapsed: 1551 sec
920 100 mean reard / episode-length: / 13.470 / 680.810 elapsed: 1567 sec
930 100 mean reard / episode-length: / 13.770 / 692.650 elapsed: 1582 sec
940 100 mean reard / episode-length: / 14.180 / 705.660 elapsed: 1597 sec
950 100 mean reard / episode-length: / 14.420 / 711.930 elapsed: 1613 sec
960 100 mean reard / episode-length: / 14.140 / 697.880 elapsed: 1629 sec
970 100 mean reard / episode-length: / 14.060 / 695.060 elapsed: 1644 sec
980 100 mean reard / episode-length: / 13.900 / 691.600 elapsed: 1659 sec
990 100 mean reard / episode-length: / 14.050 / 692.880 elapsed: 1674 sec
1000 100 mean reard / episode-length: / 13.920 / 690.610 elapsed: 1690 sec
1010 100 mean reard / episode-length: / 13.900 / 688.690 elapsed: 1709 sec
1020 100 mean reard / episode-length: / 14.130 / 696.080 elapsed: 1724 sec
1030 100 mean reard / episode-length: / 14.800 / 722.030 elapsed: 1739 sec
1040 100 mean reard / episode-length: / 14.860 / 720.900 elapsed: 1755 sec
1050 100 mean reard / episode-length: / 15.150 / 729.450 elapsed: 1771 sec
1060 100 mean reard / episode-length: / 15.360 / 736.610 elapsed: 1787 sec
1070 100 mean reard / episode-length: / 15.200 / 730.080 elapsed: 1803 sec
1080 100 mean reard / episode-length: / 15.600 / 740.790 elapsed: 1818 sec
1090 100 mean reard / episode-length: / 15.820 / 750.710 elapsed: 1834 sec
1100 100 mean reard / episode-length: / 16.030 / 759.150 elapsed: 1849 sec
1110 100 mean reard / episode-length: / 16.030 / 760.490 elapsed: 1865 sec
1120 100 mean reard / episode-length: / 16.340 / 772.510 elapsed: 1880 sec
1130 100 mean reard / episode-length: / 16.540 / 778.170 elapsed: 1896 sec
1140 100 mean reard / episode-length: / 16.840 / 791.770 elapsed: 1911 sec
1150 100 mean reard / episode-length: / 17.610 / 816.540 elapsed: 1926 sec
1160 100 mean reard / episode-length: / 17.520 / 815.500 elapsed: 1942 sec
1170 100 mean reard / episode-length: / 17.470 / 812.600 elapsed: 1958 sec
1180 100 mean reard / episode-length: / 17.820 / 822.500 elapsed: 1974 sec
1190 100 mean reard / episode-length: / 18.590 / 843.560 elapsed: 1989 sec
1200 100 mean reard / episode-length: / 19.230 / 861.500 elapsed: 2005 sec
1210 100 mean reard / episode-length: / 19.170 / 859.240 elapsed: 2020 sec
1220 100 mean reard / episode-length: / 19.420 / 865.790 elapsed: 2035 sec
1230 100 mean reard / episode-length: / 19.600 / 871.500 elapsed: 2051 sec
1240 100 mean reard / episode-length: / 18.930 / 848.420 elapsed: 2067 sec
1250 100 mean reard / episode-length: / 18.930 / 847.460 elapsed: 2083 sec
1260 100 mean reard / episode-length: / 18.800 / 842.230 elapsed: 2099 sec
1270 100 mean reard / episode-length: / 18.480 / 832.630 elapsed: 2115 sec
1280 100 mean reard / episode-length: / 17.740 / 811.640 elapsed: 2131 sec
1290 100 mean reard / episode-length: / 18.590 / 840.210 elapsed: 2146 sec
1300 100 mean reard / episode-length: / 19.070 / 854.820 elapsed: 2162 sec
1310 100 mean reard / episode-length: / 18.480 / 832.990 elapsed: 2177 sec
1320 100 mean reard / episode-length: / 18.990 / 848.960 elapsed: 2193 sec
1330 100 mean reard / episode-length: / 20.050 / 883.530 elapsed: 2208 sec
1340 100 mean reard / episode-length: / 20.270 / 888.330 elapsed: 2224 sec
1350 100 mean reard / episode-length: / 20.690 / 900.800 elapsed: 2239 sec
1360 100 mean reard / episode-length: / 20.920 / 905.900 elapsed: 2254 sec
1370 100 mean reard / episode-length: / 21.640 / 931.350 elapsed: 2269 sec
1380 100 mean reard / episode-length: / 21.460 / 925.290 elapsed: 2284 sec
1390 100 mean reard / episode-length: / 21.100 / 911.780 elapsed: 2299 sec
1400 100 mean reard / episode-length: / 21.580 / 929.350 elapsed: 2314 sec
1410 100 mean reard / episode-length: / 22.000 / 943.700 elapsed: 2329 sec
1420 100 mean reard / episode-length: / 21.810 / 936.670 elapsed: 2345 sec
1430 100 mean reard / episode-length: / 22.100 / 946.200 elapsed: 2361 sec
1440 100 mean reard / episode-length: / 22.350 / 956.720 elapsed: 2376 sec
1450 100 mean reard / episode-length: / 22.480 / 963.150 elapsed: 2391 sec
1460 100 mean reard / episode-length: / 22.530 / 962.600 elapsed: 2406 sec
1470 100 mean reard / episode-length: / 22.510 / 960.170 elapsed: 2422 sec
1480 100 mean reard / episode-length: / 23.130 / 980.270 elapsed: 2437 sec
1490 100 mean reard / episode-length: / 23.320 / 980.430 elapsed: 2453 sec
1500 100 mean reard / episode-length: / 23.520 / 985.440 elapsed: 2468 sec
1510 100 mean reard / episode-length: / 23.640 / 982.590 elapsed: 2486 sec
1520 100 mean reard / episode-length: / 24.130 / 1001.590 elapsed: 2501 sec
1530 100 mean reard / episode-length: / 24.870 / 1024.180 elapsed: 2517 sec
1540 100 mean reard / episode-length: / 25.130 / 1030.380 elapsed: 2532 sec
1550 100 mean reard / episode-length: / 23.760 / 990.300 elapsed: 2547 sec
1560 100 mean reard / episode-length: / 23.170 / 970.680 elapsed: 2562 sec
1570 100 mean reard / episode-length: / 22.490 / 951.070 elapsed: 2578 sec
1580 100 mean reard / episode-length: / 22.260 / 944.170 elapsed: 2593 sec
1590 100 mean reard / episode-length: / 22.150 / 941.660 elapsed: 2608 sec
1600 100 mean reard / episode-length: / 22.120 / 941.610 elapsed: 2624 sec
1610 100 mean reard / episode-length: / 22.180 / 944.790 elapsed: 2639 sec
1620 100 mean reard / episode-length: / 21.730 / 932.280 elapsed: 2654 sec
1630 100 mean reard / episode-length: / 21.910 / 936.020 elapsed: 2669 sec
1640 100 mean reard / episode-length: / 22.480 / 949.020 elapsed: 2684 sec
1650 100 mean reard / episode-length: / 23.760 / 985.950 elapsed: 2700 sec
1660 100 mean reard / episode-length: / 24.270 / 1000.060 elapsed: 2714 sec
1670 100 mean reard / episode-length: / 25.010 / 1020.170 elapsed: 2729 sec
1680 100 mean reard / episode-length: / 25.430 / 1031.390 elapsed: 2745 sec
1690 100 mean reard / episode-length: / 25.520 / 1032.040 elapsed: 2760 sec
1700 100 mean reard / episode-length: / 26.030 / 1044.150 elapsed: 2774 sec
1710 100 mean reard / episode-length: / 25.700 / 1034.750 elapsed: 2789 sec
1720 100 mean reard / episode-length: / 25.610 / 1033.240 elapsed: 2803 sec
1730 100 mean reard / episode-length: / 25.270 / 1026.020 elapsed: 2818 sec
1740 100 mean reard / episode-length: / 25.130 / 1022.670 elapsed: 2833 sec
1750 100 mean reard / episode-length: / 25.440 / 1035.330 elapsed: 2849 sec
1760 100 mean reard / episode-length: / 25.800 / 1046.010 elapsed: 2864 sec
1770 100 mean reard / episode-length: / 26.290 / 1053.820 elapsed: 2880 sec
1780 100 mean reard / episode-length: / 25.960 / 1044.510 elapsed: 2895 sec
1790 100 mean reard / episode-length: / 26.570 / 1061.710 elapsed: 2910 sec
1800 100 mean reard / episode-length: / 27.040 / 1076.910 elapsed: 2925 sec
1810 100 mean reard / episode-length: / 26.470 / 1053.160 elapsed: 2940 sec
1820 100 mean reard / episode-length: / 27.070 / 1067.220 elapsed: 2955 sec
1830 100 mean reard / episode-length: / 27.600 / 1078.160 elapsed: 2970 sec
1840 100 mean reard / episode-length: / 28.220 / 1089.710 elapsed: 2986 sec
1850 100 mean reard / episode-length: / 28.500 / 1092.220 elapsed: 3000 sec
1860 100 mean reard / episode-length: / 28.510 / 1090.000 elapsed: 3015 sec
1870 100 mean reard / episode-length: / 28.270 / 1087.270 elapsed: 3031 sec
1880 100 mean reard / episode-length: / 27.940 / 1074.840 elapsed: 3047 sec
1890 100 mean reard / episode-length: / 28.480 / 1094.320 elapsed: 3062 sec
1900 100 mean reard / episode-length: / 28.700 / 1103.240 elapsed: 3077 sec
1910 100 mean reard / episode-length: / 29.550 / 1111.970 elapsed: 3091 sec
1920 100 mean reard / episode-length: / 30.600 / 1140.330 elapsed: 3107 sec
1930 100 mean reard / episode-length: / 31.620 / 1165.480 elapsed: 3122 sec
1940 100 mean reard / episode-length: / 31.500 / 1163.640 elapsed: 3137 sec
1950 100 mean reard / episode-length: / 32.180 / 1178.250 elapsed: 3153 sec
1960 100 mean reard / episode-length: / 32.400 / 1175.760 elapsed: 3168 sec
1970 100 mean reard / episode-length: / 33.100 / 1192.440 elapsed: 3183 sec
1980 100 mean reard / episode-length: / 33.420 / 1199.330 elapsed: 3198 sec
1990 100 mean reard / episode-length: / 34.930 / 1227.090 elapsed: 3213 sec
2000 100 mean reard / episode-length: / 35.640 / 1240.630 elapsed: 3228 sec
2010 100 mean reard / episode-length: / 36.490 / 1249.410 elapsed: 3246 sec
2020 100 mean reard / episode-length: / 36.390 / 1240.310 elapsed: 3261 sec
2030 100 mean reard / episode-length: / 35.640 / 1228.590 elapsed: 3275 sec
2040 100 mean reard / episode-length: / 36.090 / 1234.910 elapsed: 3291 sec
2050 100 mean reard / episode-length: / 35.150 / 1211.050 elapsed: 3306 sec
2060 100 mean reard / episode-length: / 35.980 / 1228.930 elapsed: 3322 sec
2070 100 mean reard / episode-length: / 36.750 / 1236.850 elapsed: 3336 sec
2080 100 mean reard / episode-length: / 36.090 / 1227.720 elapsed: 3351 sec
2090 100 mean reard / episode-length: / 35.950 / 1226.750 elapsed: 3366 sec
2100 100 mean reard / episode-length: / 35.140 / 1204.060 elapsed: 3381 sec
2110 100 mean reard / episode-length: / 34.910 / 1205.180 elapsed: 3396 sec
2120 100 mean reard / episode-length: / 35.750 / 1217.830 elapsed: 3411 sec
2130 100 mean reard / episode-length: / 35.690 / 1218.110 elapsed: 3427 sec
2140 100 mean reard / episode-length: / 35.590 / 1215.990 elapsed: 3442 sec
2150 100 mean reard / episode-length: / 36.700 / 1232.390 elapsed: 3457 sec
2160 100 mean reard / episode-length: / 36.490 / 1225.470 elapsed: 3473 sec
2170 100 mean reard / episode-length: / 37.100 / 1229.530 elapsed: 3488 sec
2180 100 mean reard / episode-length: / 37.440 / 1228.330 elapsed: 3502 sec
2190 100 mean reard / episode-length: / 36.880 / 1219.760 elapsed: 3517 sec
2200 100 mean reard / episode-length: / 37.070 / 1225.000 elapsed: 3531 sec
2210 100 mean reard / episode-length: / 38.280 / 1237.310 elapsed: 3546 sec
2220 100 mean reard / episode-length: / 39.850 / 1262.240 elapsed: 3561 sec
2230 100 mean reard / episode-length: / 40.620 / 1282.020 elapsed: 3575 sec
2240 100 mean reard / episode-length: / 40.100 / 1272.520 elapsed: 3590 sec
2250 100 mean reard / episode-length: / 40.210 / 1273.310 elapsed: 3604 sec
2260 100 mean reard / episode-length: / 40.840 / 1277.690 elapsed: 3619 sec
2270 100 mean reard / episode-length: / 39.940 / 1269.020 elapsed: 3635 sec
2280 100 mean reard / episode-length: / 39.800 / 1267.220 elapsed: 3651 sec
2290 100 mean reard / episode-length: / 40.460 / 1290.900 elapsed: 3666 sec
2300 100 mean reard / episode-length: / 40.100 / 1299.050 elapsed: 3681 sec
2310 100 mean reard / episode-length: / 39.840 / 1291.800 elapsed: 3696 sec
2320 100 mean reard / episode-length: / 39.900 / 1297.260 elapsed: 3711 sec
2330 100 mean reard / episode-length: / 40.650 / 1309.230 elapsed: 3726 sec
2340 100 mean reard / episode-length: / 40.420 / 1301.920 elapsed: 3741 sec
2350 100 mean reard / episode-length: / 40.010 / 1298.680 elapsed: 3757 sec
2360 100 mean reard / episode-length: / 40.720 / 1305.040 elapsed: 3771 sec
2370 100 mean reard / episode-length: / 41.170 / 1309.000 elapsed: 3786 sec
2380 100 mean reard / episode-length: / 42.340 / 1327.360 elapsed: 3800 sec
2390 100 mean reard / episode-length: / 42.140 / 1325.370 elapsed: 3816 sec
2400 100 mean reard / episode-length: / 43.710 / 1343.380 elapsed: 3831 sec
2410 100 mean reard / episode-length: / 43.940 / 1342.010 elapsed: 3845 sec
2420 100 mean reard / episode-length: / 43.590 / 1329.040 elapsed: 3860 sec
2430 100 mean reard / episode-length: / 44.770 / 1351.410 elapsed: 3876 sec
2440 100 mean reard / episode-length: / 45.230 / 1355.350 elapsed: 3891 sec
2450 100 mean reard / episode-length: / 45.390 / 1349.650 elapsed: 3907 sec
2460 100 mean reard / episode-length: / 46.300 / 1361.930 elapsed: 3921 sec
2470 100 mean reard / episode-length: / 46.770 / 1369.930 elapsed: 3937 sec
2480 100 mean reard / episode-length: / 48.920 / 1400.780 elapsed: 3952 sec
2490 100 mean reard / episode-length: / 50.450 / 1423.680 elapsed: 3967 sec
2500 100 mean reard / episode-length: / 50.130 / 1413.600 elapsed: 3981 sec
2510 100 mean reard / episode-length: / 50.760 / 1418.600 elapsed: 3999 sec
2520 100 mean reard / episode-length: / 52.080 / 1431.060 elapsed: 4014 sec
2530 100 mean reard / episode-length: / 52.800 / 1445.910 elapsed: 4029 sec
2540 100 mean reard / episode-length: / 52.540 / 1440.630 elapsed: 4044 sec
2550 100 mean reard / episode-length: / 52.630 / 1444.800 elapsed: 4059 sec
2560 100 mean reard / episode-length: / 53.320 / 1448.960 elapsed: 4073 sec
2570 100 mean reard / episode-length: / 54.160 / 1458.110 elapsed: 4089 sec
2580 100 mean reard / episode-length: / 53.330 / 1442.010 elapsed: 4104 sec
2590 100 mean reard / episode-length: / 54.380 / 1457.150 elapsed: 4118 sec
2600 100 mean reard / episode-length: / 54.190 / 1453.590 elapsed: 4133 sec
2610 100 mean reard / episode-length: / 52.970 / 1432.970 elapsed: 4149 sec
2620 100 mean reard / episode-length: / 51.860 / 1417.620 elapsed: 4163 sec
2630 100 mean reard / episode-length: / 50.850 / 1406.660 elapsed: 4178 sec
2640 100 mean reard / episode-length: / 51.930 / 1436.440 elapsed: 4193 sec
2650 100 mean reard / episode-length: / 50.640 / 1421.440 elapsed: 4209 sec
2660 100 mean reard / episode-length: / 49.560 / 1406.290 elapsed: 4224 sec
2670 100 mean reard / episode-length: / 49.570 / 1407.620 elapsed: 4239 sec
2680 100 mean reard / episode-length: / 50.110 / 1427.560 elapsed: 4255 sec
2690 100 mean reard / episode-length: / 49.970 / 1426.640 elapsed: 4269 sec
2700 100 mean reard / episode-length: / 52.000 / 1454.350 elapsed: 4284 sec
2710 100 mean reard / episode-length: / 51.970 / 1454.550 elapsed: 4299 sec
2720 100 mean reard / episode-length: / 52.780 / 1473.490 elapsed: 4314 sec
2730 100 mean reard / episode-length: / 53.570 / 1485.590 elapsed: 4328 sec
